id,ORIG_FID,fclass,name,Shape_Length,longitude,latitude
9847,5668,cycleway, ,786.2934738,13.21042789,55.72044168
9848,5668,cycleway, ,786.2934738,13.20964738,55.72035577
9849,5668,cycleway, ,786.2934738,13.20885461,55.72033256
9850,5668,cycleway, ,786.2934738,13.20806585,55.72039234
9851,5668,cycleway, ,786.2934738,13.20728144,55.7204672
9852,5668,cycleway, ,786.2934738,13.20649439,55.72053371
9853,5668,cycleway, ,786.2934738,13.20570767,55.72060149
9854,5668,cycleway, ,786.2934738,13.20492179,55.72067234
9855,5668,cycleway, ,786.2934738,13.20413501,55.72073989
9856,5668,cycleway, ,786.2934738,13.20334988,55.72081289
9857,5668,cycleway, ,786.2934738,13.20258921,55.72093673
9858,5668,cycleway, ,786.2934738,13.20184759,55.72097215
9859,5674,cycleway, ,112.4255473,13.21302386,55.7200047
9860,5674,cycleway, ,112.4255473,13.21280904,55.71957546
9861,5678,service, ,50.88762685,13.22563156,55.70813378
9862,5679,residential,Kämnärsvägen,225.3844241,13.21999595,55.72163001
9863,5679,residential,Kämnärsvägen,225.3844241,13.2207887,55.72165171
9864,5679,residential,Kämnärsvägen,225.3844241,13.22158436,55.72164171
9865,5679,residential,Kämnärsvägen,225.3844241,13.22237806,55.72161427
9866,5680,tertiary,Råbyvägen,156.4523346,13.20444391,55.69511855
9867,5680,tertiary,Råbyvägen,156.4523346,13.20387175,55.69542925
9868,5680,tertiary,Råbyvägen,156.4523346,13.20329374,55.69573752
9869,5681,secondary,Sydöstra vägen,53.54102983,13.22528787,55.69158841
9870,5682,cycleway, ,105.8799184,13.18910399,55.72386201
9871,5682,cycleway, ,105.8799184,13.1897467,55.72412344
9872,5683,cycleway, ,557.2479058,13.18885277,55.72313528
9873,5683,cycleway, ,557.2479058,13.18909849,55.72270806
9874,5683,cycleway, ,557.2479058,13.18953462,55.72234098
9875,5683,cycleway, ,557.2479058,13.19021448,55.72211003
9876,5683,cycleway, ,557.2479058,13.19098093,55.72199801
9877,5683,cycleway, ,557.2479058,13.19176239,55.72191496
9878,5683,cycleway, ,557.2479058,13.19244028,55.72209146
9879,5683,cycleway, ,557.2479058,13.19309574,55.72233326
9880,5683,cycleway, ,557.2479058,13.19388478,55.72237075
9881,5683,cycleway, ,557.2479058,13.19437915,55.72269877
9882,5683,cycleway, ,557.2479058,13.19491874,55.7226499
9883,5684,cycleway, ,64.88334176,13.19087897,55.72171335
9884,5685,service, ,166.1218824,13.16906735,55.71296083
9885,5685,service, ,166.1218824,13.16883757,55.71253078
9886,5685,service, ,166.1218824,13.16880209,55.71213976
9887,5686,service, ,260.5406549,13.16875365,55.71302005
9888,5686,service, ,260.5406549,13.16852622,55.71258959
9889,5686,service, ,260.5406549,13.16794647,55.71254791
9890,5686,service, ,260.5406549,13.16794643,55.71294037
9891,5686,service, ,260.5406549,13.16798547,55.71316826
9892,5693,cycleway, ,62.48560403,13.1882222,55.69507149
9893,5696,path, ,56.98073859,13.20405779,55.72115488
9894,5701,cycleway, ,272.0712479,13.20049671,55.72109687
9895,5701,cycleway, ,272.0712479,13.19971664,55.72118587
9896,5701,cycleway, ,272.0712479,13.1989364,55.72127441
9897,5701,cycleway, ,272.0712479,13.19815535,55.72136063
9898,5701,cycleway, ,272.0712479,13.19737202,55.72143628
9899,5707,path, ,58.45627374,13.20462006,55.72166402
9900,5711,path, ,79.44672732,13.21279708,55.70921768
9901,5715,path, ,61.49963773,13.18911204,55.71966222
9902,5716,service, ,84.68482509,13.20784602,55.70881713
9903,5718,tertiary,Spolegatan,162.4241862,13.18755792,55.70944049
9904,5718,tertiary,Spolegatan,162.4241862,13.18755755,55.70988969
