OBJECTID,point_id,longitude,latitude,fclass,name,depression_score,aesthetic_score,safety_score,vitality_score,start_count,end_count,road_length,ghs_population,log_start,log_end,start_end_count,log_total_count,poi_catering_density,poi_health_density,poi_leisure_density,poi_public_facility_density,poi_shopping_density,poi_tourism_density,poi_transit_density,boringness_score,wealth_score,poi_transit_dist,poi_transit_dist_500,poi_catering_dist,poi_shopping_dist,poi_health_dist,poi_leisure_dist,poi_public_facility_dist,poi_tourism_dist
3413,3830,13.18756505,55.69229258,cycleway,,0.564116377,0.791105881,0.508330541,0.292222105,150,130,362.9786014,33.25176239,5.017279837,4.875197323,280,5.638354669,0,0,0,0,0,0,0,0.407717641,0.708102092,73.01249835,73.01249835,397.1045553,348.6760485,558.0640728,287.4989952,80.46691297,543.2106791
3414,3831,13.18740364,55.69185429,cycleway,,0.432594659,0.610800862,0.354758942,0.266694067,142,319,391.121656,48.4562912,4.96284463,5.768320996,461,6.135564891,0,0,0,0,0,0,2,0.275032105,0.428735781,24.84279231,24.84279231,436.8310268,391.2209271,557.7949087,286.7037791,123.6361549,513.8664013
3415,3832,13.18725975,55.69141437,cycleway,,0.336535314,0.563117407,0.360173419,0.223576625,158,355,556.6191008,48.4562912,5.068904202,5.874930731,513,6.242223265,0,0,0,0,0,0,2,0.291546942,0.374061077,25.20960664,25.20960664,477.8280394,434.7815082,563.0616833,295.5351254,170.7606864,469.7590272
3416,3833,13.188307,55.69458619,cycleway,,0.617847715,0.827919252,0.637999278,0.493980017,150,19,404.7448164,42.60036469,5.017279837,2.995732274,169,5.135798437,0,0,0,0,0,0,2,0.480164368,0.696348537,25.91493518,25.91493518,262.0302194,200.9692435,621.474131,183.4753254,200.6395293,322.2039832
3417,3834,13.18815484,55.69414538,cycleway,,0.758047119,0.904421046,0.739558447,0.571283715,166,28,433.5004288,42.60036469,5.117993812,3.36729583,194,5.272999559,0,0,0,0,0,0,1,0.557330579,0.886642292,27.84419964,27.84419964,275.0273161,213.9797449,600.5752956,233.2784449,152.3786369,361.1590428
3418,3835,13.18800289,55.69370485,cycleway,,0.603107791,0.776639462,0.597034089,0.443930399,175,34,497.8688927,33.25176239,5.170483995,3.555348061,209,5.347107531,0,0,0,0,0,0,0,0.394902449,0.630541503,70.67590508,70.67590508,295.981575,237.0079514,583.2400018,283.1148134,105.7698823,402.5279591
3419,3836,13.18497492,55.69190091,path,,0.492984002,0.73349569,0.570213936,0.229608172,41,52,461.8026314,91.69289398,3.737669618,3.970291914,93,4.543294782,0,0,0,0,0,0,0,0.206788728,0.379450103,139.2517761,139.2517761,411.9632007,385.1880507,409.6186959,143.1353431,172.1706977,444.5861936
3420,3837,13.18471344,55.69232509,path,,0.557341795,0.732335664,0.526740048,0.234427597,26,16,394.9974367,91.69289398,3.295836866,2.833213344,42,3.761200116,0,0,0,0,0,0,0,0.20099055,0.354745179,188.1653322,188.1653322,382.8129912,356.2665594,381.1301884,109.7688163,159.3511317,484.1479373
3421,3838,13.18446856,55.69275209,path,,0.543016024,0.703683041,0.484498385,0.236348794,24,12,362.6216156,91.69289398,3.218875825,2.564949357,36,3.610917913,0,0,0,0,0,0,0,0.25039641,0.348996935,189.3254537,189.3254537,359.2977233,333.3955205,358.4044921,93.87730381,160.6082328,526.0399702
3422,3839,13.18695777,55.69299738,residential,Blekingevägen,0.503493845,0.606386445,0.482578065,0.510239562,85,223,205.8544452,72.74032593,4.454347296,5.411646052,308,5.733341277,0,0,0,1,0,0,0,0.564187508,0.656799633,155.123494,155.123494,386.8622324,330.9455929,513.2489929,252.6298017,6.787873198,504.9588617
3423,3840,13.18681385,55.6925556,residential,Blekingevägen,0.537352908,0.617639225,0.608898088,0.576676812,63,98,145.1241727,65.09521484,4.158883083,4.59511985,161,5.087596335,0,0,0,1,0,0,0,0.626102071,0.758959267,110.8807343,110.8807343,418.6880368,365.5723814,507.3418796,238.7660143,44.53677502,548.0062241
3424,3841,13.18666871,55.69211395,residential,Blekingevägen,0.40581342,0.524392196,0.447658369,0.287374125,45,131,178.6342844,65.09521484,3.828641396,4.882801923,176,5.176149733,0,0,0,0,0,0,0,0.271678026,0.416982058,74.39977349,74.39977349,453.8559181,403.4851756,506.2487267,234.8612697,94.4535409,512.2138548
3425,3842,13.18652208,55.69167246,residential,Blekingevägen,0.395742662,0.52733076,0.459455224,0.394272323,90,251,228.3926957,65.09521484,4.510859507,5.529429088,341,5.834810737,0,0,0,0,0,0,0,0.28066884,0.668355942,61.54405283,61.54405283,482.618833,443.8522678,509.9833495,241.3824245,144.4297289,465.5744
3426,3843,13.18674231,55.69402883,residential,Bohusvägen,0.665332504,0.722987358,0.577223038,0.389136046,101,12,242.9354791,67.89138031,4.624972813,2.564949357,113,4.736198448,0,0,0,0,0,0,0,0.365526747,0.696417712,116.4331181,116.4331181,364.768041,303.6755714,510.9942655,270.6911577,122.1180015,438.1501628
